id_regiao,regiao,km_rodoanel,altura_cm,nivel_alerta,data_preenchimento,ultima_poda,clima,temperatura_media_c,graus_dia,inclinacao_graus,area_risco
RA-04,Rodoanel Norte,km 105+000,"9,6",medio,2025-09-22 00:00:00,2025-07-22 00:00:00,Chuvoso,20,70,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"9,9",medio,2025-09-29 00:00:00,2025-07-28 00:00:00,Nublado,18,56,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,7",baixo,2025-09-29 00:00:00,2025-09-22 00:00:00,Chuva moderada,"19,5","66,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"5,8",baixo,2025-09-29 00:00:00,2025-09-22 00:00:00,Chuvoso,19,63,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2025-09-29 00:00:00,2025-09-29 00:00:00,Ensolarado,20,70,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2025-10-06 00:00:00,2025-10-06 00:00:00,Chuva moderada,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"6,7",baixo,2025-10-06 00:00:00,2025-09-22 00:00:00,Chuvoso,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,7,baixo,2025-10-06 00:00:00,2025-09-22 00:00:00,Ensolarado,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,4",baixo,2025-10-06 00:00:00,2025-09-29 00:00:00,Parcialmente nublado,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,7",baixo,2025-10-13 00:00:00,2025-10-06 00:00:00,Chuvoso,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,2",medio,2025-10-13 00:00:00,2025-09-22 00:00:00,Ensolarado,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"8,7",medio,2025-10-13 00:00:00,2025-09-22 00:00:00,Parcialmente nublado,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,7",baixo,2025-10-13 00:00:00,2025-09-29 00:00:00,Nublado,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,6",baixo,2025-10-20 00:00:00,2025-10-06 00:00:00,Ensolarado,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,3",medio,2025-10-20 00:00:00,2025-09-22 00:00:00,Parcialmente nublado,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2025-10-20 00:00:00,2025-10-20 00:00:00,Nublado,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,7",medio,2025-10-20 00:00:00,2025-09-29 00:00:00,Chuva moderada,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,9",medio,2025-10-27 00:00:00,2025-10-06 00:00:00,Parcialmente nublado,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2025-10-27 00:00:00,2025-10-27 00:00:00,Nublado,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"6,3",baixo,2025-10-27 00:00:00,2025-10-20 00:00:00,Chuva moderada,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,1",medio,2025-10-27 00:00:00,2025-09-29 00:00:00,Chuvoso,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,9,medio,2025-11-03 00:00:00,2025-10-06 00:00:00,Nublado,21,77,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,8",baixo,2025-11-03 00:00:00,2025-10-27 00:00:00,Chuva moderada,"22,5","87,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,9",medio,2025-11-03 00:00:00,2025-10-20 00:00:00,Chuvoso,22,84,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2025-11-03 00:00:00,2025-11-03 00:00:00,Ensolarado,23,91,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"9,8",medio,2025-11-10 00:00:00,2025-10-06 00:00:00,Chuva moderada,21,77,3,baixo
RA-02,Rodoanel Sul,km 42+000,"6,8",baixo,2025-11-10 00:00:00,2025-10-27 00:00:00,Chuvoso,"22,5","87,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,2",medio,2025-11-10 00:00:00,2025-10-20 00:00:00,Ensolarado,22,84,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,4",baixo,2025-11-10 00:00:00,2025-11-03 00:00:00,Parcialmente nublado,23,91,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2025-11-17 00:00:00,2025-11-17 00:00:00,Chuvoso,21,77,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,2",medio,2025-11-17 00:00:00,2025-10-27 00:00:00,Ensolarado,"22,5","87,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2025-11-17 00:00:00,2025-11-17 00:00:00,Parcialmente nublado,22,84,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,7",baixo,2025-11-17 00:00:00,2025-11-03 00:00:00,Nublado,23,91,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,5",baixo,2025-11-24 00:00:00,2025-11-17 00:00:00,Ensolarado,21,77,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,4",medio,2025-11-24 00:00:00,2025-10-27 00:00:00,Parcialmente nublado,"22,5","87,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,6,baixo,2025-11-24 00:00:00,2025-11-17 00:00:00,Nublado,22,84,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,8",medio,2025-11-24 00:00:00,2025-11-03 00:00:00,Chuva moderada,23,91,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,7",baixo,2025-12-01 00:00:00,2025-11-17 00:00:00,Chuva moderada,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2025-12-01 00:00:00,2025-12-01 00:00:00,Chuva moderada,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,7",medio,2025-12-01 00:00:00,2025-11-17 00:00:00,Chuva moderada,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,1",medio,2025-12-01 00:00:00,2025-11-03 00:00:00,Chuva moderada,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,6",medio,2025-12-08 00:00:00,2025-11-17 00:00:00,Nublado,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,7",baixo,2025-12-08 00:00:00,2025-12-01 00:00:00,Nublado,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,1",medio,2025-12-08 00:00:00,2025-11-17 00:00:00,Nublado,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2025-12-08 00:00:00,2025-12-08 00:00:00,Nublado,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,9",medio,2025-12-15 00:00:00,2025-11-17 00:00:00,Chuvoso,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,2",medio,2025-12-15 00:00:00,2025-12-01 00:00:00,Chuvoso,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2025-12-15 00:00:00,2025-12-15 00:00:00,Chuvoso,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,9",baixo,2025-12-15 00:00:00,2025-12-08 00:00:00,Chuvoso,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2025-12-22 00:00:00,2025-12-22 00:00:00,Chuva moderada,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,6",medio,2025-12-22 00:00:00,2025-12-01 00:00:00,Chuva moderada,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"6,1",baixo,2025-12-22 00:00:00,2025-12-15 00:00:00,Chuva moderada,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,1",medio,2025-12-22 00:00:00,2025-12-08 00:00:00,Chuva moderada,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,3",baixo,2025-12-29 00:00:00,2025-12-22 00:00:00,Nublado,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,7",medio,2025-12-29 00:00:00,2025-12-01 00:00:00,Nublado,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,4",medio,2025-12-29 00:00:00,2025-12-15 00:00:00,Nublado,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,8,medio,2025-12-29 00:00:00,2025-12-08 00:00:00,Nublado,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,4",baixo,2026-01-05 00:00:00,2025-12-22 00:00:00,Chuvoso,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2026-01-05 00:00:00,2026-01-05 00:00:00,Chuvoso,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,1",medio,2026-01-05 00:00:00,2025-12-15 00:00:00,Chuvoso,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,3",medio,2026-01-05 00:00:00,2025-12-08 00:00:00,Chuvoso,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,4",medio,2026-01-12 00:00:00,2025-12-22 00:00:00,Chuva moderada,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,8",baixo,2026-01-12 00:00:00,2026-01-05 00:00:00,Chuva moderada,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2026-01-12 00:00:00,2026-01-12 00:00:00,Chuva moderada,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2026-01-12 00:00:00,2026-01-12 00:00:00,Chuva moderada,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,6",medio,2026-01-19 00:00:00,2025-12-22 00:00:00,Nublado,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,2",medio,2026-01-19 00:00:00,2026-01-05 00:00:00,Nublado,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"6,2",baixo,2026-01-19 00:00:00,2026-01-12 00:00:00,Nublado,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,8",baixo,2026-01-19 00:00:00,2026-01-12 00:00:00,Nublado,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"9,5",medio,2026-01-26 00:00:00,2025-12-22 00:00:00,Chuvoso,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,3",medio,2026-01-26 00:00:00,2026-01-05 00:00:00,Chuvoso,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,6",medio,2026-01-26 00:00:00,2026-01-12 00:00:00,Chuvoso,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,8",baixo,2026-01-26 00:00:00,2026-01-12 00:00:00,Chuvoso,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2026-02-02 00:00:00,2026-02-02 00:00:00,Chuva moderada,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,9",medio,2026-02-02 00:00:00,2026-01-05 00:00:00,Chuva moderada,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,4",medio,2026-02-02 00:00:00,2026-01-12 00:00:00,Chuva moderada,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,2",medio,2026-02-02 00:00:00,2026-01-12 00:00:00,Chuva moderada,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,6",baixo,2026-02-09 00:00:00,2026-02-02 00:00:00,Nublado,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2026-02-09 00:00:00,2026-02-09 00:00:00,Nublado,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2026-02-09 00:00:00,2026-02-09 00:00:00,Nublado,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,4",medio,2026-02-09 00:00:00,2026-01-12 00:00:00,Nublado,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,4",baixo,2026-02-16 00:00:00,2026-02-02 00:00:00,Chuvoso,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,5",baixo,2026-02-16 00:00:00,2026-02-09 00:00:00,Chuvoso,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"5,8",baixo,2026-02-16 00:00:00,2026-02-09 00:00:00,Chuvoso,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2026-02-16 00:00:00,2026-02-16 00:00:00,Chuvoso,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,6",medio,2026-02-23 00:00:00,2026-02-02 00:00:00,Chuva moderada,23,91,3,baixo
RA-02,Rodoanel Sul,km 42+000,"6,9",baixo,2026-02-23 00:00:00,2026-02-09 00:00:00,Chuva moderada,"24,5","101,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,4",medio,2026-02-23 00:00:00,2026-02-09 00:00:00,Chuva moderada,24,98,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,8",baixo,2026-02-23 00:00:00,2026-02-16 00:00:00,Chuva moderada,25,105,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,6",medio,2026-03-02 00:00:00,2026-02-02 00:00:00,Nublado,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,2",medio,2026-03-02 00:00:00,2026-02-09 00:00:00,Nublado,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"8,9",medio,2026-03-02 00:00:00,2026-02-09 00:00:00,Nublado,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,9",baixo,2026-03-02 00:00:00,2026-02-16 00:00:00,Nublado,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"9,8",medio,2026-03-09 00:00:00,2026-02-02 00:00:00,Chuvoso,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,6",medio,2026-03-09 00:00:00,2026-02-09 00:00:00,Chuvoso,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2026-03-09 00:00:00,2026-03-09 00:00:00,Chuvoso,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,2",medio,2026-03-09 00:00:00,2026-02-16 00:00:00,Chuvoso,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2026-03-16 00:00:00,2026-03-16 00:00:00,Chuva moderada,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2026-03-16 00:00:00,2026-03-16 00:00:00,Chuva moderada,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"5,9",baixo,2026-03-16 00:00:00,2026-03-09 00:00:00,Chuva moderada,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,2",medio,2026-03-16 00:00:00,2026-02-16 00:00:00,Chuva moderada,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,8",baixo,2026-03-23 00:00:00,2026-03-16 00:00:00,Nublado,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,6,baixo,2026-03-23 00:00:00,2026-03-16 00:00:00,Nublado,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,7",medio,2026-03-23 00:00:00,2026-03-09 00:00:00,Nublado,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2026-03-23 00:00:00,2026-03-23 00:00:00,Nublado,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,9",baixo,2026-03-30 00:00:00,2026-03-16 00:00:00,Chuvoso,22,84,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,3",medio,2026-03-30 00:00:00,2026-03-16 00:00:00,Chuvoso,"23,5","94,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,3",medio,2026-03-30 00:00:00,2026-03-09 00:00:00,Chuvoso,23,91,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,7",baixo,2026-03-30 00:00:00,2026-03-23 00:00:00,Chuvoso,24,98,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,7",medio,2026-04-06 00:00:00,2026-03-16 00:00:00,Chuvoso,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,3",medio,2026-04-06 00:00:00,2026-03-16 00:00:00,Ensolarado,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2026-04-06 00:00:00,2026-04-06 00:00:00,Parcialmente nublado,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,6",baixo,2026-04-06 00:00:00,2026-03-23 00:00:00,Nublado,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,7",medio,2026-04-13 00:00:00,2026-03-16 00:00:00,Ensolarado,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,5",medio,2026-04-13 00:00:00,2026-03-16 00:00:00,Parcialmente nublado,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"5,8",baixo,2026-04-13 00:00:00,2026-04-06 00:00:00,Nublado,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,6",medio,2026-04-13 00:00:00,2026-03-23 00:00:00,Chuva moderada,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"9,5",medio,2026-04-20 00:00:00,2026-03-16 00:00:00,Parcialmente nublado,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,5",baixo,2026-04-20 00:00:00,2026-04-20 00:00:00,Nublado,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,7,baixo,2026-04-20 00:00:00,2026-04-06 00:00:00,Chuva moderada,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,5",medio,2026-04-20 00:00:00,2026-03-23 00:00:00,Chuvoso,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"4,5",baixo,2026-04-27 00:00:00,2026-04-27 00:00:00,Nublado,20,70,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,7",baixo,2026-04-27 00:00:00,2026-04-20 00:00:00,Chuva moderada,"21,5","80,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"8,4",medio,2026-04-27 00:00:00,2026-04-06 00:00:00,Chuvoso,21,77,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,6",medio,2026-04-27 00:00:00,2026-03-23 00:00:00,Ensolarado,22,84,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,2",baixo,2026-05-04 00:00:00,2026-04-27 00:00:00,Chuva moderada,17,49,3,baixo
RA-02,Rodoanel Sul,km 42+000,"6,6",baixo,2026-05-04 00:00:00,2026-04-20 00:00:00,Chuvoso,"18,5","59,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,5",medio,2026-05-04 00:00:00,2026-04-06 00:00:00,Ensolarado,18,56,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,5",baixo,2026-05-04 00:00:00,2026-05-04 00:00:00,Parcialmente nublado,19,63,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,3",baixo,2026-05-11 00:00:00,2026-04-27 00:00:00,Chuvoso,17,49,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,9",medio,2026-05-11 00:00:00,2026-04-20 00:00:00,Ensolarado,"18,5","59,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"4,5",baixo,2026-05-11 00:00:00,2026-05-11 00:00:00,Parcialmente nublado,18,56,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,7",baixo,2026-05-11 00:00:00,2026-05-04 00:00:00,Nublado,19,63,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,2",medio,2026-05-18 00:00:00,2026-04-27 00:00:00,Ensolarado,17,49,3,baixo
RA-02,Rodoanel Sul,km 42+000,9,medio,2026-05-18 00:00:00,2026-04-20 00:00:00,Parcialmente nublado,"18,5","59,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"5,8",baixo,2026-05-18 00:00:00,2026-05-11 00:00:00,Nublado,18,56,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,7",baixo,2026-05-18 00:00:00,2026-05-04 00:00:00,Chuva moderada,19,63,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,8",medio,2026-05-25 00:00:00,2026-04-27 00:00:00,Parcialmente nublado,17,49,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,8",medio,2026-05-25 00:00:00,2026-04-20 00:00:00,Nublado,"18,5","59,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"6,8",baixo,2026-05-25 00:00:00,2026-05-11 00:00:00,Chuva moderada,18,56,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,4",medio,2026-05-25 00:00:00,2026-05-04 00:00:00,Chuvoso,19,63,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,8",medio,2026-06-01 00:00:00,2026-04-27 00:00:00,Ensolarado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,3,baixo,2026-06-01 00:00:00,2026-06-01 00:00:00,Ensolarado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"8,2",medio,2026-06-01 00:00:00,2026-05-11 00:00:00,Ensolarado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,5",medio,2026-06-01 00:00:00,2026-05-04 00:00:00,Ensolarado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"9,4",medio,2026-06-08 00:00:00,2026-04-27 00:00:00,Nublado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"3,8",baixo,2026-06-08 00:00:00,2026-06-01 00:00:00,Nublado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,1",medio,2026-06-08 00:00:00,2026-05-11 00:00:00,Nublado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"9,2",medio,2026-06-08 00:00:00,2026-05-04 00:00:00,Nublado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,3,baixo,2026-06-15 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"4,8",baixo,2026-06-15 00:00:00,2026-06-01 00:00:00,Parcialmente nublado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,3,baixo,2026-06-15 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,3,baixo,2026-06-15 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"3,5",baixo,2026-06-22 00:00:00,2026-06-15 00:00:00,Ensolarado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"5,5",baixo,2026-06-22 00:00:00,2026-06-01 00:00:00,Ensolarado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"3,8",baixo,2026-06-22 00:00:00,2026-06-15 00:00:00,Ensolarado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"3,6",baixo,2026-06-22 00:00:00,2026-06-15 00:00:00,Ensolarado,17,49,"10,4",alto
